jan,title,avg_sold_price,avg_shipping,total_sold,total_sales,date_last_sold,brand,mpn,epid,category,seller,item_id,url
4547366590777,SawanoHiroyuki[nZk] V Limited Edition CD Blu-ray VVCL-2166 4547366590777,57.63,0,1,57.63,"Aug 22, 2026",,,,Music|CDs,sdyk0022,115680500062,https://www.ebay.com/itm/115680500062
4988031654750,BAD OMENS THE DEATH OF PEACE OF MIND+CONCRETE JUNGLE THE OST JPN LTD 2SHM-CD OBI,51.79,0,1,51.79,"Aug 22, 2026",,,,Music|CDs,sdyk0022,116242229380,https://www.ebay.com/itm/116242229380
4547366697643,SawanoHiroyuki[nZk] bLACKbLUE 2CD Standard Edition VVCL-2584 4547366697643,58.57,0,1,58.57,"Aug 22, 2026",,,,Music|CDs,sdyk0022,116325588561,https://www.ebay.com/itm/116325588561
4548736085244,SONY MDR-EX650AP Closed Dynamic,97.31,0,1,97.31,"Aug 20, 2026",SONY,MDREX650AP TQ,,Consumer Electronics|Portable Audio & Headphones|Headphones,sakura-japan-net,116347792572,https://www.ebay.com/itm/116347792572
4988104115935,Spice and Wolf Merchant Meets the Wise Wolf Original Soundtrack CD Anime OST,56.18,0,1,56.18,"Aug 20, 2026",,,,Music|CDs,sdyk0022,116349420698,https://www.ebay.com/itm/116349420698
4988102964207,John Carpenter The Thing 4K Ultra HD + Blu-ray Japan GNXF-2651 4988102964207,58.25,0,1,58.25,"Aug 21, 2026",,,,Movies & TV|DVDs & Blu-ray Discs,sdyk0022,116803480269,https://www.ebay.com/itm/116803480269
4974365729875,Sega Game Gear Micro Mini Red Color 30th Anniversary Video game console,99.99,0,1,99.99,"Aug 22, 2026",SEGA,,,Video Games & Consoles|Video Game Consoles,tsukihime*986516,117012935746,https://www.ebay.com/itm/117012935746
4939334155611,Suzuki SNB-20 Shinobix 10 Hole Harmonica with silencer full set Key C,84.07,0,1,84.07,"Aug 20, 2026",Suzuki,SNB20,9025018687,Musical Instruments & Gear|Wind & Woodwind|Folk & World|Harmonicas,sakura-japan-net,117036504213,https://www.ebay.com/itm/117036504213
4954628472403,SEIKO SELECTION SCVE065 Mechanical Spring 2026 Limited Edition Men's Watch,439.39,0,1,439.39,"Aug 20, 2026",SEIKO,,,"Jewelry & Watches|Watches, Parts & Accessories|Watches|Wristwatches",sakura-japan-net,117051039419,https://www.ebay.com/itm/117051039419
4549526397400,Casio PRO TRECK PRW-61LD-3JF Quartz Green Dial 47.4 mm Watch,307.95,34,1,307.95,"Aug 21, 2026",Casio,,,"Jewelry & Watches|Watches, Parts & Accessories|Watches|Wristwatches",indigo_tokyo,117097555623,https://www.ebay.com/itm/117097555623
4515276158950,Tama MTH1000 Double Tom Holder Star Hardware,154.29,0,1,154.29,"Aug 21, 2026",TAMA,MTH1000,,Musical Instruments & Gear|Percussion|Drums|Toms,sakura-japan-net,117102994890,https://www.ebay.com/itm/117102994890
4939334676123,SUZUKI HAMMOND PRO-44HP PRO-44HPv2 44 Hyper Melodion Wind Keyboard,371.5,67.31,1,371.5,"Aug 21, 2026",Suzuki,PRO-44HPV2,26051938073,Musical Instruments & Gear|Wind & Woodwind|Folk & World|Melodicas,solamu_inc,117140961555,https://www.ebay.com/itm/117140961555
4907034226153,"BEETHOVEN Symphonies Nos. 3, 5 & 7, etc. FRICSAY SACD ESOTERIC ESSG-90322/23",87.36,0,1,87.36,"Aug 21, 2026",,ESSG-90322/23,,Music|CDs,sdyk0022,117165844718,https://www.ebay.com/itm/117165844718
4954628455239,SEIKO PRESAGE SARY161 Mechanical Automatic Men's Watch New,387.13,0,1,387.13,"Aug 20, 2026",SEIKO,,,"Jewelry & Watches|Watches, Parts & Accessories|Watches|Wristwatches",solamu_inc,117170239353,https://www.ebay.com/itm/117170239353
4549526342400,Casio Men's Watch Oceanus OCW-T200S-7AJF White Dial,436.72,0,1,436.72,"Aug 21, 2026",Casio,,3058411253,"Jewelry & Watches|Watches, Parts & Accessories|Watches|Wristwatches",sakura-japan-net,117223978047,https://www.ebay.com/itm/117223978047
