jan,title,avg_sold_price,avg_shipping,total_sold,total_sales,date_last_sold,brand,mpn,epid,category,seller,age_level,item_id,url
4530076132320,New VOIGTLANDER Nokton 50mm f/1.2 Aspherical Lens VM Mount Manual Focus,790.87,198,1,790.87,"Sep 2, 2026",Voigtlander,Nokton 50mm F1.2 VM,,Cameras & Photo|Lenses & Filters|Lenses,nyjbloom,,113250979868,https://www.ebay.com/itm/113250979868
4530076631915,New VOIGTLANDER VM-E Close Focus Adapter II  -VM Lens to Sony E Mount Camera,262.72,39,1,262.72,"Sep 2, 2026",Voigtlander,VM-E CFII,,"Cameras & Photo|Lenses & Filters|Lens Adapters, Mounts & Tubes",nyjbloom,,115691972161,https://www.ebay.com/itm/115691972161
4545350055844,New OLYMPUS PEN E-P7 Mirrorless SILVER Camera + 14-42mm EZ & 40-150mm R LensKit,656.67,60,1,656.67,"Sep 3, 2026",Olympus (OM System),,,Cameras & Photo|Digital Cameras,nyjbloom,,115782173580,https://www.ebay.com/itm/115782173580
4562494356286,Hololive Nekomata Okayu 1st Live. POISONYA SYNDROME Blu-ray HOXB-10011,88.67,10,1,88.67,"Sep 2, 2026",,,,Movies & TV|DVDs & Blu-ray Discs,sdyk0022,,115817140743,https://www.ebay.com/itm/115817140743
4562494358655,Wonderlands x Showtime SEKAI ALBUM vol.3 CD Limited w/ Goods HATSUNE MIKU,63.04,0,1,63.04,"Sep 2, 2026",,,,Music|CDs,sdyk0022,,116618776184,https://www.ebay.com/itm/116618776184
4580128896724,YOASOBI Biri-Biri CD + T-shirt White LTD Pokemon Scarlet Violet Inspire Song,59.9,10,1,59.9,"Sep 2, 2026",,,,Music|CDs,sdyk0022,,116750548692,https://www.ebay.com/itm/116750548692
4549292053944,Canon Print Head PF-10 0861C001AA PRO-6000S PRO-2000 PRO-1000 PRO-4000,407.59,67.31,1,407.59,"Sep 3, 2026",Canon,"0861C001, PF10",,"Computers/Tablets & Networking|Printers, Scanners & Supplies|Printer & Scanner Parts & Accs|Print Heads",solamu_inc,,116866142556,https://www.ebay.com/itm/116866142556
4549526207884,CASIO LINEAGE LCW-M100TSE-1AJF Titanium Atomic Radio Quartz Men's Watch,195,0,1,195,"Sep 3, 2026",Casio,,19035041372,"Jewelry & Watches|Watches, Parts & Accessories|Watches|Wristwatches",sakura-japan-net,,116936055473,https://www.ebay.com/itm/116936055473
4971850993544,CASIO OCEANUS OCW-T150-2AJF Men's Watch Tough Solar Multiband 6,506.4,0,1,506.4,"Sep 3, 2026",CASIO,OCW-T150-2AJF,,"Jewelry & Watches|Watches, Parts & Accessories|Watches|Wristwatches",sakura-japan-net,,117038229881,https://www.ebay.com/itm/117038229881
4549526369278,CASIO G-SHOCK GM-6900U-1JF Metal Bezel GM-6900 Men's Watch,172.73,0,1,172.73,"Sep 3, 2026",Casio,,,"Jewelry & Watches|Watches, Parts & Accessories|Watches|Wristwatches",sakura-japan-net,,117050746198,https://www.ebay.com/itm/117050746198
4549526419706,CASIO Pro Trek PRG-69-4JF Tough Solar Triple Sensor Orange Digital Men's Watch,196.52,0,1,196.52,"Sep 2, 2026",CASIO,,,"Jewelry & Watches|Watches, Parts & Accessories|Watches|Wristwatches",sakura-japan-net,,117054268035,https://www.ebay.com/itm/117054268035
4974375521612,CITIZEN COLLECTION JG2120-65A RECORD LABEL Thermo Sensor Ana-Digi Temp Watch,296.54,34,1,296.54,"Sep 3, 2026",Citizen,,,"Jewelry & Watches|Watches, Parts & Accessories|Watches|Wristwatches",indigo_tokyo,,117097543843,https://www.ebay.com/itm/117097543843
4954628467973,SEIKO SELECTION Men's Watch SBTH007 Quartz Champagne Champagne Gold S Series,231.19,0,1,231.19,"Sep 2, 2026",SEIKO,SBTH007,,"Jewelry & Watches|Watches, Parts & Accessories|Watches|Wristwatches",sakura-japan-net,,117124643319,https://www.ebay.com/itm/117124643319
4962772157077,HOZAN C-707-13 Kawakoma adaptive Spoke Size 13,97.84,0,1,97.84,"Sep 3, 2026",Hozan (HOZAN),C-707-13,,Sporting Goods|Cycling|Bicycle Maintenance & Tools|Tools,solamu_inc,,117156790083,https://www.ebay.com/itm/117156790083
